id	family	phenotype
T114	UCD_2014	1
T116	UCD_2014	1
T157	UCD_2014	0
T158	UCD_2014	0
T159	UCD_2014	0
T115	UCD_2014	1
T160	UCD_2014	0
T161	UCD_2014	0
T162	UCD_2014	0
T163	UCD_2014	0
T164	UCD_2014	0
T165	UCD_2014	0
T151	UCD_2014	1
T130	UCD_2014	0
T167	UCD_2014	0
T168	UCD_2014	0
T169	UCD_2014	0
T170	UCD_2014	0
T154	UCD_2014	0
T171	UCD_2014	0
T172	UCD_2014	0
T173	UCD_2014	0
T174	UCD_2014	0
T175	UCD_2014	0
T139	UCD_2014	1
T176	UCD_2014	0
T177	UCD_2014	0
T178	UCD_2014	0
T138	UCD_2014	0
T179	UCD_2014	0
T180	UCD_2014	0
T181	UCD_2014	0
T182	UCD_2014	0
T183	UCD_2014	0
T184	UCD_2014	0
T185	UCD_2014	0
T186	UCD_2014	0
T187	UCD_2014	0
T188	UCD_2014	0
T189	UCD_2014	0
T190	UCD_2014	0
T191	UCD_2014	0
T192	UCD_2014	0
T193	UCD_2014	0
T194	UCD_2014	0
T195	UCD_2014	0
T196	UCD_2014	0
T197	UCD_2014	0
T198	UCD_2014	0
T199	UCD_2014	0
T200	UCD_2014	0
T201	UCD_2014	0
T202	UCD_2014	0
T203	UCD_2014	0
T204	UCD_2014	0
T205	UCD_2014	0
T206	UCD_2014	0
T207	UCD_2014	0
T208	UCD_2014	0
T209	UCD_2014	0
T210	UCD_2014	0
T211	UCD_2014	0
T212	UCD_2014	0
T213	UCD_2014	0
T214	UCD_2014	0
T215	UCD_2014	0
T216	UCD_2014	0
T217	UCD_2014	0
T218	UCD_2014	0
T219	UCD_2014	0
T220	UCD_2014	0
T221	UCD_2014	0
T222	UCD_2014	0
T223	UCD_2014	0
T117	UCD_2014	1
T224	UCD_2014	0
T225	UCD_2014	0
T226	UCD_2014	0
T227	UCD_2014	0
T228	UCD_2014	0
T229	UCD_2014	0
T230	UCD_2014	0
T231	UCD_2014	0
T232	UCD_2014	0
T233	UCD_2014	0
T234	UCD_2014	0
T235	UCD_2014	0
T236	UCD_2014	0
T237	UCD_2014	0
T238	UCD_2014	0
T239	UCD_2014	0
T240	UCD_2014	0
T241	UCD_2014	0
T242	UCD_2014	0
T143	UCD_2014	1
T243	UCD_2014	0
T244	UCD_2014	0
T245	UCD_2014	0
T144	UCD_2014	1
T246	UCD_2014	0
T247	UCD_2014	0
T248	UCD_2014	0
T249	UCD_2014	0
T145	UCD_2014	1
T250	UCD_2014	0
T251	UCD_2014	0
T252	UCD_2014	0
T253	UCD_2014	0
T254	UCD_2014	0
T255	UCD_2014	0
T256	UCD_2014	0
T142	UCD_2014	0
T257	UCD_2014	0
T258	UCD_2014	0
T259	UCD_2014	0
T126	UCD_2014	1
T260	UCD_2014	0
T261	UCD_2014	0
T262	UCD_2014	0
T263	UCD_2014	0
T264	UCD_2014	0
T265	UCD_2014	0
T146	UCD_2014	1
T147	UCD_2014	1
T150	UCD_2014	1
