dog_id	sire_id	dam_id
DOG_1		
DOG_2		
DOG_3	DOG_1	DOG_2
DOG_4		
DOG_5	DOG_3	DOG_4
DOG_6		
DOG_7		
DOG_8	DOG_6	DOG_7
DOG_9		
DOG_10		
DOG_11	DOG_9	DOG_10
DOG_12	DOG_8	DOG_11
DOG_13		
DOG_14		
DOG_15	DOG_13	DOG_14
DOG_16	DOG_12	DOG_15
DOG_17	DOG_5	DOG_16
DOG_18		
DOG_19		
DOG_20	DOG_18	DOG_19
DOG_21		
DOG_22		
DOG_23	DOG_21	DOG_22
DOG_24	DOG_21	DOG_22
DOG_25		
DOG_26	DOG_24	DOG_25
DOG_27	DOG_23	DOG_26
DOG_28	DOG_20	DOG_27
DOG_29	DOG_17	DOG_28
DOG_30		
DOG_31		
DOG_32	DOG_30	DOG_31
DOG_33		
DOG_34		
DOG_35	DOG_33	DOG_34
DOG_36	DOG_32	DOG_35
DOG_37	DOG_30	DOG_31
DOG_38		
DOG_39		
DOG_40	DOG_38	DOG_39
DOG_41	DOG_37	DOG_40
DOG_42	DOG_36	DOG_41
DOG_43	DOG_8	DOG_11
DOG_44	DOG_3	DOG_43
DOG_45	DOG_12	DOG_44
DOG_46	DOG_42	DOG_45
DOG_47		
DOG_48		
DOG_49	DOG_47	DOG_48
DOG_50		
DOG_51	DOG_12	DOG_50
DOG_52	DOG_49	DOG_51
DOG_53		
DOG_54		
DOG_55	DOG_53	DOG_54
DOG_56	DOG_23	DOG_55
DOG_57		
DOG_58	DOG_56	DOG_57
DOG_59	DOG_52	DOG_58
DOG_60	DOG_52	DOG_59
DOG_61	DOG_334	DOG_342
DOG_62		
DOG_63	DOG_61	DOG_62
DOG_64		
DOG_65		
DOG_66	DOG_64	DOG_65
DOG_67	DOG_63	DOG_66
DOG_68		
DOG_69		
DOG_70	DOG_68	DOG_69
DOG_71	DOG_67	DOG_70
DOG_72		
DOG_73	DOG_64	DOG_72
DOG_74	DOG_24	DOG_73
DOG_75		
DOG_76	DOG_21	DOG_75
DOG_77	DOG_23	DOG_76
DOG_78	DOG_74	DOG_77
DOG_79	DOG_71	DOG_78
DOG_80		
DOG_81		
DOG_82	DOG_80	DOG_81
DOG_83	DOG_3	DOG_82
DOG_84	DOG_83	DOG_16
DOG_85	DOG_335	DOG_343
DOG_86	DOG_336	DOG_85
DOG_87	DOG_84	DOG_86
DOG_88	DOG_87	DOG_45
DOG_89	DOG_88	DOG_45
DOG_90	DOG_79	DOG_89
DOG_91		
DOG_92	DOG_64	DOG_91
DOG_93		
DOG_94		
DOG_95	DOG_93	DOG_94
DOG_96	DOG_92	DOG_95
DOG_97	DOG_3	DOG_95
DOG_98		
DOG_99		
DOG_100	DOG_98	DOG_99
DOG_101		
DOG_102	DOG_53	DOG_101
DOG_103	DOG_100	DOG_102
DOG_104	DOG_97	DOG_103
DOG_105	DOG_96	DOG_104
DOG_106	DOG_79	DOG_105
DOG_107	DOG_83	DOG_16
DOG_108		
DOG_109	DOG_12	DOG_108
DOG_110	DOG_337	DOG_344
DOG_111		
DOG_112	DOG_110	DOG_111
DOG_113	DOG_109	DOG_112
DOG_114	DOG_107	DOG_113
DOG_115	DOG_79	DOG_29
DOG_116	DOG_114	DOG_115
DOG_117	DOG_84	DOG_28
DOG_118	DOG_21	DOG_25
DOG_119	DOG_92	DOG_118
DOG_120	DOG_100	DOG_102
DOG_121	DOG_119	DOG_120
DOG_122	DOG_117	DOG_121
DOG_123	DOG_42	DOG_45
DOG_124	DOG_122	DOG_123
DOG_125		
DOG_126		
DOG_127	DOG_53	DOG_126
DOG_128	DOG_125	DOG_127
DOG_129	DOG_64	DOG_72
DOG_130	DOG_128	DOG_129
DOG_131	DOG_130	DOG_77
DOG_132	DOG_84	DOG_131
DOG_133	DOG_79	DOG_89
DOG_134	DOG_132	DOG_133
DOG_135	DOG_122	DOG_105
DOG_136	DOG_56	DOG_16
DOG_137	DOG_74	DOG_136
DOG_138		
DOG_139	DOG_47	DOG_138
DOG_140	DOG_338	DOG_345
DOG_141	DOG_140	DOG_50
DOG_142	DOG_139	DOG_141
DOG_143		
DOG_144	DOG_110	DOG_143
DOG_145	DOG_142	DOG_144
DOG_146	DOG_137	DOG_145
DOG_147	DOG_146	DOG_89
DOG_148	DOG_135	DOG_147
DOG_149		
DOG_150		
DOG_151	DOG_149	DOG_150
DOG_152		
DOG_153	DOG_3	DOG_152
DOG_154	DOG_153	DOG_346
DOG_155	DOG_56	DOG_154
DOG_156	DOG_151	DOG_155
DOG_157	DOG_87	DOG_45
DOG_158	DOG_156	DOG_157
DOG_159	DOG_122	DOG_131
DOG_160	DOG_158	DOG_159
DOG_161	DOG_23	DOG_55
DOG_162	DOG_83	DOG_16
DOG_163	DOG_161	DOG_162
DOG_164	DOG_132	DOG_133
DOG_165	DOG_163	DOG_164
DOG_166	DOG_93	DOG_347
DOG_167	DOG_47	DOG_166
DOG_168		
DOG_169	DOG_67	DOG_168
DOG_170	DOG_167	DOG_169
DOG_171	DOG_142	DOG_170
DOG_172	DOG_122	DOG_131
DOG_173	DOG_171	DOG_172
DOG_174	DOG_132	DOG_133
DOG_175	DOG_173	DOG_174
DOG_176	DOG_173	DOG_174
DOG_177	DOG_173	DOG_174
DOG_178	DOG_6	DOG_7
DOG_179	DOG_178	DOG_127
DOG_180	DOG_128	DOG_129
DOG_181	DOG_153	DOG_180
DOG_182	DOG_179	DOG_181
DOG_183	DOG_83	DOG_16
DOG_184	DOG_56	DOG_183
DOG_185	DOG_339	DOG_348
DOG_186	DOG_185	DOG_85
DOG_187	DOG_84	DOG_186
DOG_188	DOG_184	DOG_187
DOG_189	DOG_182	DOG_188
DOG_190	DOG_189	DOG_124
DOG_191	DOG_5	DOG_16
DOG_192	DOG_74	DOG_191
DOG_193	DOG_192	DOG_89
DOG_194	DOG_189	DOG_193
DOG_195	DOG_189	DOG_193
DOG_196	DOG_132	DOG_133
DOG_197	DOG_196	DOG_29
DOG_198	DOG_197	DOG_116
DOG_199		
DOG_200	DOG_340	DOG_349
DOG_201	DOG_199	DOG_200
DOG_202		
DOG_203		
DOG_204	DOG_202	DOG_203
DOG_205	DOG_201	DOG_204
DOG_206	DOG_341	DOG_141
DOG_207	DOG_74	DOG_350
DOG_208	DOG_206	DOG_207
DOG_209		
DOG_210		
DOG_211	DOG_209	DOG_210
DOG_212	DOG_208	DOG_211
DOG_213	DOG_205	DOG_212
DOG_214	DOG_56	DOG_16
DOG_215	DOG_74	DOG_214
DOG_216	DOG_215	DOG_164
DOG_217	DOG_216	DOG_133
DOG_218	DOG_122	DOG_105
DOG_219	DOG_218	DOG_106
DOG_220	DOG_146	DOG_89
DOG_221	DOG_60	DOG_220
DOG_222	DOG_146	DOG_123
DOG_223	DOG_60	DOG_222
DOG_224	DOG_84	DOG_131
DOG_225		
DOG_226		
DOG_227	DOG_225	DOG_226
DOG_228		
DOG_229	DOG_97	DOG_228
DOG_230	DOG_227	DOG_229
DOG_231	DOG_224	DOG_230
DOG_232	DOG_92	DOG_118
DOG_233	DOG_100	DOG_102
DOG_234	DOG_232	DOG_233
DOG_235	DOG_3	DOG_26
DOG_236	DOG_71	DOG_235
DOG_237	DOG_234	DOG_236
DOG_238	DOG_231	DOG_237
DOG_239		
DOG_240		
DOG_241	DOG_239	DOG_240
DOG_242		
DOG_243	DOG_110	DOG_242
DOG_244	DOG_241	DOG_243
DOG_245		
DOG_246	DOG_245	DOG_243
DOG_247		
DOG_248	DOG_247	DOG_226
DOG_249	DOG_246	DOG_248
DOG_250	DOG_244	DOG_249
DOG_251	DOG_134	DOG_250
DOG_252	DOG_231	DOG_237
DOG_253	DOG_114	DOG_115
DOG_254	DOG_253	DOG_29
DOG_255	DOG_196	DOG_254
DOG_256	DOG_196	DOG_254
DOG_257	DOG_231	DOG_195
DOG_258	DOG_146	DOG_193
DOG_259	DOG_60	DOG_258
DOG_260	DOG_60	DOG_90
DOG_261	DOG_60	DOG_90
DOG_262	DOG_79	DOG_89
DOG_263	DOG_262	DOG_46
DOG_264	DOG_196	DOG_29
DOG_265	DOG_263	DOG_264
DOG_266	DOG_148	DOG_195
DOG_267		
DOG_268		
DOG_269	DOG_267	DOG_268
DOG_270	DOG_269	DOG_157
DOG_271		
DOG_272		
DOG_273	DOG_271	DOG_272
DOG_274	DOG_52	DOG_273
DOG_275	DOG_270	DOG_274
DOG_276	DOG_197	DOG_275
DOG_277		
DOG_278		
DOG_279	DOG_277	DOG_278
DOG_280		
DOG_281		
DOG_282	DOG_280	DOG_281
DOG_283	DOG_279	DOG_282
DOG_284		
DOG_285		
DOG_286	DOG_284	DOG_285
DOG_287		
DOG_288		
DOG_289	DOG_287	DOG_288
DOG_290	DOG_286	DOG_289
DOG_291	DOG_283	DOG_290
DOG_292	DOG_291	DOG_190
DOG_293	DOG_262	DOG_46
DOG_294	DOG_122	DOG_293
DOG_295	DOG_158	DOG_159
DOG_296	DOG_60	DOG_295
DOG_297	DOG_294	DOG_296
DOG_298	DOG_189	DOG_124
DOG_299	DOG_291	DOG_298
DOG_300	DOG_262	DOG_46
DOG_301	DOG_262	DOG_46
DOG_302	DOG_60	DOG_301
DOG_303	DOG_300	DOG_302
DOG_304	DOG_197	DOG_116
DOG_305	DOG_148	DOG_304
DOG_306	DOG_132	DOG_133
DOG_307	DOG_199	DOG_200
DOG_308	DOG_307	DOG_204
DOG_309	DOG_308	DOG_212
DOG_310	DOG_306	DOG_309
DOG_311		
DOG_312	DOG_52	DOG_311
DOG_313		
DOG_314	DOG_313	DOG_210
DOG_315	DOG_312	DOG_314
DOG_316		
DOG_317	DOG_52	DOG_316
DOG_318		
DOG_319		
DOG_320	DOG_318	DOG_319
DOG_321	DOG_317	DOG_320
DOG_322	DOG_315	DOG_321
DOG_323	DOG_291	DOG_165
DOG_324	DOG_259	DOG_159
DOG_325	DOG_148	DOG_194
DOG_326	DOG_148	DOG_194
DOG_327	DOG_148	DOG_194
DOG_328	DOG_279	DOG_211
DOG_329	DOG_279	DOG_203
DOG_330	DOG_201	DOG_329
DOG_331	DOG_328	DOG_330
DOG_332	DOG_177	DOG_255
DOG_333	DOG_177	DOG_255
