id	speed	game	collaboration	hunter	retrieval	water	skull-muzzle	cranio-facial	eye	head	withers	type	sex
DOG_255	5	5	4	6	3	3	4	4	6	5	5	4	0
DOG_251	5	6	3	6	6	5	6	4	6	5	4	4	1
DOG_198	5	6	3	6	4	3	6	4	6	5	6	4	1
DOG_259	5	6	4	6	6	5	6	6	6	6	2	6	1
DOG_257	5	6	4	6	5	5	6	4	6	5	5	6	1
DOG_195	3	3	3	5	1	3	6	6	6	6	5	6	0
DOG_194	6	6	3	3	5	5	6	4	6	5	3	4	0
DOG_175	6	5	4	6	5	3	6	6	6	6	5	6	0
DOG_266	6	6	4	5	6	6	6	6	6	6	3	4	1
DOG_148	5	5	4	5	5	5	6	6	6	6	3	4	1
DOG_177	6	6	4	6	5	5	6	6	6	6	5	6	1
DOG_305	5	5	4	6	3	3	6	6	5	5	5	6	1
DOG_217	6	6	3	6	2	1	6	6	6	5	5	4	0
DOG_252	5	5	3	5	5	5	6	6	6	5	5	6	0
DOG_276	3	3	3	6	3	3	4	4	3	3	6	4	0
DOG_325	5	3	3	6	4	3	6	4	3	3	5	4	1
DOG_299	5	6	5	4	3	2	4	4	3	3	5	4	0
DOG_327	5	6	3	6	5	4	4	4	3	3	6	4	0
DOG_165	4	5	3	3	3	3	6	6	6	6	6	6	0
DOG_322	5	5	5	6	3	3	6	6	6	5	5	6	0
DOG_292	6	5	5	6	4	1	6	6	3	5	5	6	0
DOG_324	5	6	5	6	6	6	6	4	6	5	6	6	1
DOG_326	5	3	3	6	4	3	6	4	3	3	5	4	0
DOG_190	6	4	5	6	2	1	6	4	6	5	4	4	0
DOG_124	6	4	2	6	5	5	6	4	6	6	5	6	0
DOG_29	6	6	5	6	5	4	6	6	6	6	5	6	0
DOG_90	5	6	5	5	2	5	6	6	6	6	5	6	0
DOG_261	6	6	5	5	3	5	6	6	6	4	5	4	0
DOG_260	6	6	5	5	3	5	6	6	6	4	5	4	0
DOG_106	5	6	4	4	5	3	6	4	3	4	5	3	0
DOG_219	6	2	5	5	6	5	6	6	6	4	3	4	1
DOG_60	3	4	3	6	6	6	6	4	6	5	4	4	1
DOG_223	3	3	3	5	3	3	6	6	6	5	4	4	1
DOG_303	6	6	4	6	5	3	6	6	6	5	6	6	0
DOG_46	6	6	4	6	5	3	6	6	6	6	6	6	0
DOG_310	6	6	3	6	5	4	6	6	6	5	6	6	1
DOG_213	5	5	5	6	2	5	6	4	3	4	4	4	0
DOG_333	5	3	3	6	4	3	6	4	3	3	5	4	0
DOG_238	5	3	3	6	4	3	6	4	3	3	5	4	0
DOG_323	5	5	5	6	2	5	6	6	6	5	6	6	1
DOG_297	5	3	3	6	4	3	6	4	3	3	5	4	1
DOG_160	3	5	2	1	2	3	5	4	3	3	6	4	1
DOG_221	5	5	2	6	3	3	5	6	5	4	5	4	1
DOG_331	4	4	4	6	3	3	6	4	3	4	5	4	1
